,4102,10535
ACBD5,0.45643153526971,0.45850622406639
ACOT11,0.45643153526971,0.45850622406639
ACTN2,0.45643153526971,0.45850622406639
AQP3,0.987551867219917,0.941908713692946
BIN2,0.45643153526971,0.45850622406639
BTN2A2,0.45643153526971,0.45850622406639
C1QA,0.927385892116183,0.949170124481328
CCL8,0.91804979253112,0.45850622406639
CCND1,0.993775933609959,0.99792531120332
CD274,0.91804979253112,0.941908713692946
CD83,0.949170124481328,0.920124481327801
CD9,0.981327800829875,0.989626556016598
CEACAM6,0.932572614107884,0.981327800829875
CLEC7A,0.45643153526971,0.45850622406639
CNTNAP3B,0.45643153526971,0.45850622406639
COL8A1,0.45643153526971,0.45850622406639
CTLA4,0.927385892116183,0.941908713692946
CTSW,0.45643153526971,0.45850622406639
CXADR,0.45643153526971,0.45850622406639
CXCL11,0.45643153526971,0.45850622406639
CXCL13,0.45643153526971,0.45850622406639
CXCL6,0.45643153526971,0.45850622406639
CXCL9,0.91804979253112,0.930497925311203
CYP2C18,0.45643153526971,0.45850622406639
DLL4,0.45643153526971,0.45850622406639
DNAJC6,0.45643153526971,0.45850622406639
ECSCR,0.45643153526971,0.45850622406639
EGLN3,0.45643153526971,0.45850622406639
EOMES,0.45643153526971,0.45850622406639
EPB41L3,0.45643153526971,0.45850622406639
EREG,0.45643153526971,0.45850622406639
ETV7,0.45643153526971,0.45850622406639
EZH2,0.45643153526971,0.45850622406639
FASLG,0.45643153526971,0.45850622406639
FBXO6,0.45643153526971,0.45850622406639
FCRL6,0.45643153526971,0.45850622406639
FEZ2,0.45643153526971,0.45850622406639
FUT9,0.45643153526971,0.45850622406639
GEM,0.45643153526971,0.45850622406639
GNLY,0.45643153526971,0.45850622406639
GPR171,0.45643153526971,0.45850622406639
GZMB,0.45643153526971,0.45850622406639
GZMH,0.45643153526971,0.45850622406639
HAPLN3,0.45643153526971,0.45850622406639
HMGCS2,0.91804979253112,0.920124481327801
HS3ST1,0.45643153526971,0.45850622406639
ID1,0.45643153526971,0.45850622406639
IDO1,0.45643153526971,0.45850622406639
IFNG,0.45643153526971,0.45850622406639
ITM2B,0.45643153526971,0.45850622406639
KHK,0.45643153526971,0.45850622406639
LAG3,0.91804979253112,0.920124481327801
LILRA2,0.45643153526971,0.45850622406639
LILRB3,0.45643153526971,0.45850622406639
LILRB4,0.45643153526971,0.45850622406639
LPAR1,0.45643153526971,0.45850622406639
LTA,0.45643153526971,0.45850622406639
LVRN,0.45643153526971,0.45850622406639
LY96,0.45643153526971,0.45850622406639
MAL2,0.45643153526971,0.45850622406639
MAP4K1,0.45643153526971,0.45850622406639
MAPKAPK2,0.45643153526971,0.45850622406639
MEST,0.45643153526971,0.45850622406639
MICAL2,0.45643153526971,0.45850622406639
MICB,0.45643153526971,0.45850622406639
MMP10,0.45643153526971,0.45850622406639
MYCT1,0.45643153526971,0.45850622406639
NFATC4,0.45643153526971,0.45850622406639
NUAK1,0.45643153526971,0.45850622406639
OSBPL1A,0.45643153526971,0.45850622406639
P4HB,0.45643153526971,0.45850622406639
PAQR5,0.45643153526971,0.45850622406639
PDCD1,0.45643153526971,0.45850622406639
PDE4B,0.45643153526971,0.45850622406639
PHEX,0.45643153526971,0.45850622406639
PLA2G2D,0.45643153526971,0.45850622406639
POMT1,0.45643153526971,0.45850622406639
PTHLH,0.45643153526971,0.45850622406639
RERG,0.45643153526971,0.45850622406639
RGS5,0.985477178423237,0.991701244813278
RPL14,0.45643153526971,0.45850622406639
RPL8,0.45643153526971,0.45850622406639
S1PR3,0.45643153526971,0.45850622406639
SCNM1,0.45643153526971,0.45850622406639
SDC4,0.970954356846473,0.977178423236514
SEMA3F,0.45643153526971,0.45850622406639
SERPINA3,0.99792531120332,0.993775933609959
SERPINB5,0.45643153526971,0.45850622406639
SET,0.45643153526971,0.45850622406639
SH3PXD2A,0.45643153526971,0.45850622406639
SIGLEC11,0.45643153526971,0.45850622406639
SIRPA,0.45643153526971,0.45850622406639
SIT1,0.45643153526971,0.45850622406639
SLC7A5,0.45643153526971,0.45850622406639
SNCG,0.45643153526971,0.45850622406639
SOX7,0.45643153526971,0.45850622406639
STAT1,0.45643153526971,0.45850622406639
SYPL1,0.45643153526971,0.45850622406639
TUBB2B,0.939834024896266,0.953319502074689
WFDC1,0.45643153526971,0.45850622406639
