,007x021,050x028
ACBD5,0.462655601659751,0.465767634854772
ACOT11,0.462655601659751,0.465767634854772
ACTN2,0.462655601659751,0.465767634854772
AQP3,0.939834024896266,0.995850622406639
BIN2,0.462655601659751,0.465767634854772
BTN2A2,0.462655601659751,0.465767634854772
C1QA,0.946058091286307,0.955394190871369
CCL8,0.462655601659751,0.465767634854772
CCND1,0.993775933609959,0.985477178423237
CD274,0.462655601659751,0.465767634854772
CD83,0.982365145228216,0.955394190871369
CD9,0.462655601659751,0.465767634854772
CEACAM6,0.462655601659751,0.465767634854772
CLEC7A,0.462655601659751,0.465767634854772
CNTNAP3B,0.462655601659751,0.465767634854772
COL8A1,0.462655601659751,0.465767634854772
CTLA4,0.462655601659751,0.465767634854772
CTSW,0.931535269709544,0.465767634854772
CXADR,0.966804979253112,0.987551867219917
CXCL11,0.462655601659751,0.465767634854772
CXCL13,0.462655601659751,0.465767634854772
CXCL6,0.462655601659751,0.465767634854772
CXCL9,0.462655601659751,0.465767634854772
CYP2C18,0.462655601659751,0.465767634854772
DLL4,0.462655601659751,0.465767634854772
DNAJC6,0.462655601659751,0.465767634854772
ECSCR,0.979253112033195,0.465767634854772
EGLN3,0.462655601659751,0.465767634854772
EOMES,0.462655601659751,0.465767634854772
EPB41L3,0.462655601659751,0.465767634854772
EREG,0.462655601659751,0.465767634854772
ETV7,0.462655601659751,0.465767634854772
EZH2,0.462655601659751,0.465767634854772
FASLG,0.462655601659751,0.465767634854772
FBXO6,0.462655601659751,0.465767634854772
FCRL6,0.462655601659751,0.465767634854772
FEZ2,0.462655601659751,0.465767634854772
FUT9,0.462655601659751,0.465767634854772
GEM,0.955394190871369,0.465767634854772
GNLY,0.462655601659751,0.465767634854772
GPR171,0.462655601659751,0.465767634854772
GZMB,0.462655601659751,0.465767634854772
GZMH,0.462655601659751,0.465767634854772
HAPLN3,0.462655601659751,0.465767634854772
HMGCS2,0.462655601659751,0.465767634854772
HS3ST1,0.462655601659751,0.465767634854772
ID1,0.462655601659751,0.465767634854772
IDO1,0.931535269709544,0.465767634854772
IFNG,0.462655601659751,0.465767634854772
ITM2B,0.462655601659751,0.465767634854772
KHK,0.462655601659751,0.465767634854772
LAG3,0.462655601659751,0.465767634854772
LILRA2,0.462655601659751,0.465767634854772
LILRB3,0.462655601659751,0.465767634854772
LILRB4,0.462655601659751,0.465767634854772
LPAR1,0.462655601659751,0.465767634854772
LTA,0.462655601659751,0.465767634854772
LVRN,0.462655601659751,0.465767634854772
LY96,0.462655601659751,0.465767634854772
MAL2,0.931535269709544,0.99792531120332
MAP4K1,0.462655601659751,0.465767634854772
MAPKAPK2,0.462655601659751,0.465767634854772
MEST,0.462655601659751,0.465767634854772
MICAL2,0.462655601659751,0.465767634854772
MICB,0.462655601659751,0.465767634854772
MMP10,0.462655601659751,0.465767634854772
MYCT1,0.946058091286307,0.939834024896266
NFATC4,0.462655601659751,0.465767634854772
NUAK1,0.462655601659751,0.465767634854772
OSBPL1A,0.462655601659751,0.465767634854772
P4HB,0.462655601659751,0.465767634854772
PAQR5,0.462655601659751,0.465767634854772
PDCD1,0.462655601659751,0.465767634854772
PDE4B,0.462655601659751,0.465767634854772
PHEX,0.462655601659751,0.465767634854772
PLA2G2D,0.462655601659751,0.465767634854772
POMT1,0.462655601659751,0.465767634854772
PTHLH,0.462655601659751,0.465767634854772
RERG,0.462655601659751,0.465767634854772
RGS5,0.989626556016598,0.939834024896266
RPL14,0.462655601659751,0.465767634854772
RPL8,0.462655601659751,0.465767634854772
S1PR3,0.462655601659751,0.465767634854772
SCNM1,0.462655601659751,0.465767634854772
SDC4,0.462655601659751,0.465767634854772
SEMA3F,0.462655601659751,0.465767634854772
SERPINA3,0.462655601659751,0.465767634854772
SERPINB5,0.925311203319502,0.991701244813278
SET,0.462655601659751,0.465767634854772
SH3PXD2A,0.462655601659751,0.465767634854772
SIGLEC11,0.462655601659751,0.465767634854772
SIRPA,0.462655601659751,0.465767634854772
SIT1,0.462655601659751,0.465767634854772
SLC7A5,0.462655601659751,0.465767634854772
SNCG,0.462655601659751,0.465767634854772
SOX7,0.462655601659751,0.465767634854772
STAT1,0.462655601659751,0.465767634854772
SYPL1,0.462655601659751,0.465767634854772
TUBB2B,0.985477178423237,0.983402489626556
WFDC1,0.462655601659751,0.465767634854772
